,Lat,Long,Month,Day,Year,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
0,18.3,-21.056,6.0,2.0,1992.0,-0.7298111649315365,-2.9004220937496643,-2.8302178350764158,-2.4651040224918193,-4.135166556742349,-3.540459448995659,-4.074541934925914,-4.961845129926808,-1.6713133161521871
1,20.325,-18.366,6.0,5.0,1992.0,0.2215422699472361,-36.7368005696771,-1.283737772794798,-1.3943265328171544,-2.796881414808824,-1.1026203100656482,-2.7488721956224635,-2.244316184870069,-3.244193632852488
2,20.361,-18.341,6.0,6.0,1992.0,0.41673470036639515,-36.7368005696771,-1.5798791101925556,-1.4524341636244351,-2.7333680090864982,-0.4525567156420147,-2.882403588246986,-1.5750364857167676,-3.506557897319978
3,20.322,-18.344,6.0,13.0,1997.0,1.2128334327581325,-36.7368005696771,-36.7368005696771,-1.9877743531540113,-3.35240721749272,0.7212486106708201,-2.4651040224918193,-36.7368005696771,-3.036554268074244
4,18.302,-21.071,6.0,16.0,1992.0,0.28141245943818566,-36.7368005696771,-1.6502599069543549,-1.2447947988461907,-2.937463365430013,-1.0906441190189324,-1.88387475813586,-3.442019376182407,-1.7486999797676075
5,18.27,-21.114,6.0,18.0,1992.0,0.021761491781512928,-36.7368005696771,-1.6982691261407155,-1.594549299940349,-3.146555163288572,-0.4845083154486171,-2.3859667019330955,-3.963316299815691,-1.5994875815809317
6,21.045,-31.088,6.0,21.0,1992.0,-3.1941832122778266,-4.422848629194127,-36.7368005696771,-4.509860006183756,-5.5214609178622185,-5.5214609178622185,-6.907755278982026,-36.7368005696771,-3.506557897319978
7,20.592,-31.085,6.0,23.0,1992.0,-3.29683736633791,-4.509860006183756,-6.214608098422136,-4.509860006183756,-5.5214609178622185,-5.80914299031399,-36.7368005696771,-36.7368005696771,-3.6119184129778037
8,18.294,-21.05,5.0,31.0,1992.0,-0.8439700702945288,-2.322787800311564,-3.015934980871508,-2.673648774384876,-4.422848629194127,-3.7722610630529827,-4.342805921520592,-5.298317366548014,-1.6194882482876012
9,37.998,4.558,1.0,8.0,1995.0,-1.1894455050453983,-4.7664784368883275,-3.364220347135874,-3.364320008139645,-3.9505052393243623,-2.8384207088766265,-4.055199217293541,-4.913696804344763,-5.06376806876443
10,35.806,17.502,1.0,12.0,1995.0,-2.0369185945999444,-3.5314184081711404,-5.130809154247188,-3.9304834558468156,-4.551443180479361,-5.9517470343031205,-6.100786677386472,-6.713298486250002,-3.349578935142286
11,35.503,23.39,1.0,22.0,1995.0,-1.7429693050586224,-4.431447829901529,-4.01510811179429,-3.166910824875377,-4.0113103888317845,-4.103543745257434,-5.642038855621302,-5.517798383138328,-4.468092015622523
12,-58.0,62.01,3.0,2.0,1994.0,-2.882403588246986,-22.971493762187073,-3.8167128256238163,-4.017383521085966,-5.80914299031399,-3.506557897319978,-6.214608098422136,-6.214608098422136,-6.907755278982026
13,-63.07,70.23,2.0,20.0,1994.0,-2.3968957724652857,-11.378667600596785,-36.7368005696771,-4.509860006183756,-6.214608098422136,-2.882403588246986,-36.7368005696771,-36.7368005696771,-36.7368005696771
14,28.117,-115.633,8.0,23.0,2000.0,-1.6647920725661773,-3.4459445696849693,-4.145967620028256,-3.4056561070211027,-4.739949011762485,-3.563095880725522,-4.389734760492577,-5.832756068244972,-3.768257629671186
15,26.24,-114.055,8.0,23.0,2000.0,-0.6843460246068764,-2.091126990572051,-2.842215792216658,-2.586851049552992,-3.6295860321156437,-3.223003969193058,-5.17802384746055,-4.035925180702827,-1.5698105718687976
16,25.733,-113.6,8.0,23.0,2000.0,-1.59884422422323,-2.572118508996482,-4.332066232072041,-3.583247287956444,-4.954519470072555,-3.9686801823788778,-5.515119208575747,-6.050663673975243,-3.063926899009808
17,25.417,-113.317,8.0,23.0,2000.0,-1.4848778924986927,-1.9282884919740535,-4.720716979735767,-3.8479393550723495,-4.950937131475328,-4.833350586958953,-6.0823419244743215,-6.917427955854627,-2.5571814404707105
18,24.917,-112.917,8.0,23.0,2000.0,-1.6985970487539181,-3.641976837861809,-4.290716936317419,-3.26893306585302,-4.872535399461887,-4.103665185592642,-36.7368005696771,-5.28460713161527,-2.5190554711633473
19,24.633,-112.55,8.0,24.0,2000.0,-1.217328259373094,-1.9085754886703659,-4.087843248833104,-2.9696183324078236,-4.718721675602119,-4.358436278515715,-5.1877786159205135,-36.7368005696771,-2.2012602259226135
20,23.967,-112.25,8.0,24.0,2000.0,-0.9685055033228941,-1.197890094902728,-3.8672168464022803,-3.6845689066868075,-4.76326575299437,-4.825998280542481,-6.135288084906052,-36.7368005696771,-1.6800287508833185
